dataset,cluster,model,selection_method,opt_metric,n_features_selected,features_percent,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std
adult,C0,DT,attention,log_loss,1,0.1,0.5,0.0,0.7607182352166999,9.418661374139647e-05
adult,C0,DT,attention,log_loss,2,0.2,0.6059971143824681,0.005829333928471431,0.8110232648206036,0.002870592663815475
adult,C0,DT,attention,log_loss,4,0.3,0.7406787923722604,0.004744405065385092,0.8485319557018636,0.00149654081385151
adult,C0,DT,decision_tree,log_loss,1,0.1,0.5,0.0,0.7607182352166999,9.418661374139647e-05
adult,C0,DT,decision_tree,log_loss,2,0.2,0.6534908322754196,0.006513701822887834,0.7275706063372389,0.005404539548124888
adult,C0,DT,decision_tree,log_loss,4,0.3,0.679446786347531,0.006128518714379801,0.7623765777501703,0.004579185386179207
adult,C0,DT,f_classif,log_loss,1,0.1,0.5,0.0,0.7607182352166999,9.418661374139647e-05
adult,C0,DT,f_classif,log_loss,2,0.2,0.49994617868675995,0.00017019793649992809,0.7606363519004257,0.00028277975200848894
adult,C0,DT,f_classif,log_loss,4,0.3,0.7184826445755691,0.009649202262606963,0.8113715120163432,0.005196724670268122
adult,C0,DT,linear_model,log_loss,1,0.1,0.6061951150596114,0.005739949552762026,0.8111461149434538,0.0028131827708608496
adult,C0,DT,linear_model,log_loss,2,0.2,0.6059971143824681,0.005829333928471431,0.8110232648206036,0.002870592663815475
adult,C0,DT,linear_model,log_loss,4,0.3,0.6116709458383478,0.005519903961220808,0.8095285883259271,0.0029660596643653054
adult,C0,DT,random,log_loss,1,0.1,0.6061951150596114,0.005739949552762026,0.8111461149434538,0.0028131827708608496
adult,C0,DT,random,log_loss,2,0.2,0.5052288737320054,0.002266551667780549,0.7583226662039354,0.0018796105055342105
adult,C0,DT,random,log_loss,4,0.3,0.6745871139113508,0.008394459583136194,0.786884213235288,0.006370780125933992
adult,C0,DT,random_1,log_loss,1,0.1,0.5470101823730422,0.004373596414165569,0.7823594181321919,0.0021910707372718306
adult,C0,DT,random_1,log_loss,2,0.2,0.6930194641396199,0.006330173288573328,0.8207281227444995,0.0038016824462835134
adult,C0,DT,random_1,log_loss,4,0.3,0.6238398973383942,0.008076350949087775,0.7226569660755946,0.006577666196406799
adult,C0,DT,random_2,log_loss,1,0.1,0.5,0.0,0.7607182352166999,9.418661374139647e-05
adult,C0,DT,random_2,log_loss,2,0.2,0.6697837232516142,0.009521201735915748,0.7748044750808313,0.005309669224311129
adult,C0,DT,random_2,log_loss,4,0.3,0.6693439542261663,0.009822001588159142,0.7541870054664322,0.006773503522982632
adult,C0,DT,random_3,log_loss,1,0.1,0.5,0.0,0.7607182352166999,9.418661374139647e-05
adult,C0,DT,random_3,log_loss,2,0.2,0.6059725582334882,0.005682692270840569,0.8109413689301099,0.002829999159812489
adult,C0,DT,random_3,log_loss,4,0.3,0.6055631196603511,0.005518170929101242,0.8106752020467475,0.0027379303430648985
adult,C0,DT,random_4,log_loss,1,0.1,0.5860189402864799,0.005722544386232791,0.7797387202965504,0.003567703405336089
adult,C0,DT,random_4,log_loss,2,0.2,0.6061095718602957,0.005780780666738594,0.8111051649025036,0.0028347501153448812
adult,C0,DT,random_4,log_loss,4,0.3,0.6512143300295017,0.0055100627651045704,0.790631087493933,0.004590917463542999
adult,C0,KNN,attention,log_loss,1,0.1,0.4998962047304863,0.00024519900959300053,0.23930224399518157,0.00016687644350955893
adult,C0,KNN,attention,log_loss,2,0.2,0.5192825475835703,0.0020303079776146883,0.2696451136164545,0.00270182807956518
adult,C0,KNN,attention,log_loss,4,0.3,0.5797560739283394,0.030939420512190653,0.3794076788242602,0.049639944050074096
adult,C0,KNN,decision_tree,log_loss,1,0.1,0.4998962047304863,0.00024519900959300053,0.23930224399518157,0.00016687644350955893
adult,C0,KNN,decision_tree,log_loss,2,0.2,0.6433060329224949,0.009305907900688805,0.7531223044017312,0.007217237509511855
adult,C0,KNN,decision_tree,log_loss,4,0.3,0.7084098547641287,0.008013682839323938,0.8028745377926544,0.0044194407318234406
adult,C0,KNN,f_classif,log_loss,1,0.1,0.4998962047304863,0.00024519900959300053,0.23930224399518157,0.00016687644350955893
adult,C0,KNN,f_classif,log_loss,2,0.2,0.5048462917583586,0.0014376317085540782,0.24736898292169532,0.002441073774560004
adult,C0,KNN,f_classif,log_loss,4,0.3,0.759479892624679,0.007036592705930397,0.7038002099056346,0.0076043682012358945
adult,C0,KNN,linear_model,log_loss,1,0.1,0.5202481815397995,0.0017896148780223258,0.2701774431917728,0.0025787903780048575
adult,C0,KNN,linear_model,log_loss,2,0.2,0.5192825475835703,0.0020303079776146883,0.2696451136164545,0.00270182807956518
adult,C0,KNN,linear_model,log_loss,4,0.3,0.5465591412293537,0.004152003392470023,0.3196225889982287,0.006083138528233842
