dataset,selection_method,selection_metric,attention_selector,real_fraction_masked,approx_features_masked,fraction_from_features,model,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
adult,attention/balanced_accuracy,balanced_accuracy,0.2,0.12426658554990729,2,0.14285714285714285,DT,0.5860246296308069,0.00594851877572644,0.7888907778160593,0.002877683797996297,0.5860246296308069,0.00594851877572643,0.8754262672787296,0.0015196457759107333,0.7942588652662362,0.0024446205453472827,0.9750773273914989,0.0013268648529486606
adult,attention/balanced_accuracy,balanced_accuracy,0.3,0.2065157621953003,3,0.21428571428571427,DT,0.7128742129097688,0.007152806064599117,0.8130092118730807,0.004308630151950765,0.7128742129097688,0.007152806064599092,0.8804221082347355,0.0027315079813529054,0.8572354359050317,0.0036067348365466344,0.9049116258382869,0.0038250971752419372
adult,attention/balanced_accuracy,balanced_accuracy,0.4,0.28708020614576446,4,0.2857142857142857,DT,0.7225611493367543,0.008257158461510667,0.8066010124761405,0.003421723354034336,0.7225611493367543,0.008257158461510651,0.8742495849691307,0.0020415796950934255,0.8650011807714311,0.004677408574232019,0.8837302588783436,0.004136784276527578
adult,attention/balanced_accuracy,balanced_accuracy,0.5,0.4040111847531691,6,0.42857142857142855,DT,0.7323881299306485,0.006321273326383571,0.79933247241845,0.004109374591154399,0.7323881299306485,0.006321273326383589,0.867126489164834,0.0029503091681712295,0.8736075280629685,0.003678208369907498,0.8607722815166164,0.005841960820096432
adult,attention/balanced_accuracy,balanced_accuracy,0.6,0.4965749618302749,7,0.5,DT,0.7296579343453673,0.004766807680850121,0.7996396605966718,0.004934650895797266,0.7296579343453673,0.004766807680850124,0.8677089017517545,0.003710915908467758,0.8716181357462738,0.002554316682240484,0.8638675285803487,0.0072484542542952815
adult,attention/balanced_accuracy,balanced_accuracy,0.7,0.6133143605912944,9,0.6428571428571429,DT,0.735078992915158,0.008187933422981465,0.8041847379155465,0.004787616667901199,0.735078992915158,0.0081879334229815,0.8708149167853618,0.003280904595690599,0.8740875032872777,0.004738912256240112,0.8676087545472851,0.006332531209542407
adult,attention/balanced_accuracy,balanced_accuracy,0.8,0.713691963006078,10,0.7142857142857143,DT,0.7419221040207014,0.0061073138842737,0.8085255302757861,0.0030169743257870336,0.7419221040207014,0.006107313884273669,0.8735810474090775,0.0019211701131519956,0.8775604917583755,0.003586696356754169,0.8696542904206754,0.0033025021591166354
adult,attention/balanced_accuracy,balanced_accuracy,0.9,0.8541931124851562,12,0.8571428571428571,DT,0.7494769727972246,0.003847648231927889,0.8151589800463904,0.0038623229757418064,0.7494769727972246,0.0038476482319279403,0.8781273054253835,0.0028831398749219047,0.8808539869393917,0.0021724313989906737,0.8754406248777611,0.005871473170596359
adult,attention/log_loss,log_loss,0.2,0.06198266129268136,1,0.07142857142857142,DT,0.5605456007339182,0.0046738366036338085,0.7671265435902079,0.0033646084496732963,0.5605456007339182,0.004673836603633847,0.8620789779717215,0.0020413253693569383,0.7844779369777013,0.0018170817163519106,0.9567217749588192,0.003050671518777681
adult,attention/log_loss,log_loss,0.3,0.12123055683925427,2,0.14285714285714285,DT,0.6776408483087226,0.004851524689298875,0.8035296588111327,0.003566403678668576,0.6776408483087227,0.004851524689298919,0.8768021441515558,0.0023171843900773544,0.8382580435939083,0.0022594742541629854,0.9190685797982461,0.003557197463168864
adult,attention/log_loss,log_loss,0.4,0.18825425424254302,3,0.21428571428571427,DT,0.7251226592603217,0.007057923863244204,0.8084436553423247,0.004219657936413406,0.7251226592603217,0.007057923863244204,0.8754389459956574,0.002872719481434813,0.8661944052651084,0.003944106944415105,0.8849148493220543,0.005652052019680542
adult,attention/log_loss,log_loss,0.5,0.2697868345159611,4,0.2857142857142857,DT,0.7346784555447028,0.009912712068888068,0.8135213221037173,0.006178747802324962,0.7346784555447028,0.009912712068888059,0.8784521480741907,0.004223764417380142,0.8712003945817335,0.005528492471001608,0.8858838864928062,0.007866728459231297
adult,attention/log_loss,log_loss,0.6,0.36332167279917166,5,0.35714285714285715,DT,0.7484893447512129,0.008869976057502775,0.8147701223136228,0.0055979423844599915,0.7484893447512129,0.00886997605750276,0.8779280380494467,0.0037185316935327635,0.8802919620176899,0.004848404096147953,0.8756021177926163,0.005388063270869314
adult,attention/log_loss,log_loss,0.7,0.4729872416596957,7,0.5,DT,0.7496444261181333,0.007643769274302057,0.8145653553432469,0.0052102569901506255,0.7496444261181333,0.007643769274302065,0.8776283669666357,0.0035744446695962087,0.8811639467740309,0.004178380468351853,0.8741488191908114,0.005931279052257867
adult,attention/log_loss,log_loss,0.8,0.6023401990090496,8,0.5714285714285714,DT,0.74902384458068,0.006899863601351012,0.8121495586029874,0.006495609410358173,0.74902384458068,0.006899863601350997,0.8757180250094599,0.004631439872472367,0.8814495804920176,0.003265015315498055,0.8700847305384884,0.007437890920990258
adult,attention/log_loss,log_loss,0.9,0.7561978273967955,11,0.7857142857142857,DT,0.7498059342942669,0.006519661794005354,0.8128047005784979,0.0046019737946981915,0.7498059342942669,0.006519661794005407,0.8761717481900707,0.0032134447671998793,0.8818168067743846,0.0036227125248896944,0.8706231972033199,0.005618414353991533
adult,f_classif,balanced_accuracy,0.2,0.14285714285714285,2,0.14285714285714285,DT,0.5861105530674298,0.00738329554553303,0.6781048388110824,0.005457553144722522,0.5861105530674297,0.007383295545532977,0.7827971507983176,0.003989367069521053,0.8041860946694037,0.003788694665270152,0.7625353895054958,0.005756123059428673
adult,f_classif,balanced_accuracy,0.3,0.21428571428571427,3,0.21428571428571427,DT,0.5878943644039831,0.008130974629371271,0.6864378074920552,0.008631442204870169,0.5878943644039831,0.008130974629371268,0.7903001007446602,0.006877177880574665,0.8042619710083347,0.004026611463367184,0.7768809426190915,0.01152486397733953
adult,f_classif,balanced_accuracy,0.4,0.2857142857142857,4,0.2857142857142857,DT,0.6409581324004552,0.003371156074744899,0.7304983582260962,0.004860421388701663,0.6409581324004551,0.0033711560747448906,0.8210198095395634,0.004185151280830642,0.8295911965757107,0.0019755680459016514,0.812676954771263,0.008861006288664257
adult,f_classif,balanced_accuracy,0.5,0.42857142857142855,6,0.42857142857142855,DT,0.688142671941327,0.004127026688209608,0.769849800950108,0.002709247503936041,0.688142671941327,0.004127026688209646,0.8481316694509967,0.0021975280948439966,0.8514778048769222,0.002575793454170052,0.8448392097321683,0.005373372100094697
adult,f_classif,balanced_accuracy,0.6,0.5,7,0.5,DT,0.7263456228188352,0.005135236552064353,0.7981244713588623,0.0047169232471269305,0.7263456228188352,0.0051352365520643695,0.866863299552692,0.0034524159460955096,0.869767541699912,0.002683453874417918,0.8640017703807479,0.006241588683298846
adult,f_classif,balanced_accuracy,0.7,0.6428571428571429,9,0.6428571428571429,DT,0.7473827792773622,0.00629490841439163,0.8131322212693759,0.004048505423246516,0.7473827792773622,0.006294908414391586,0.8767183460059591,0.0027480334204310532,0.8800030420570405,0.003508237456919123,0.8734759948250408,0.0045062185981880115
adult,f_classif,balanced_accuracy,0.8,0.7142857142857143,10,0.7142857142857143,DT,0.75112008440722,0.007958004674669953,0.8161418480916944,0.0051044291010155915,0.75112008440722,0.00795800467466997,0.8787474855977855,0.003432385136152021,0.8817236523713202,0.00438339496452742,0.8758178666477363,0.005504783721704783
adult,f_classif,balanced_accuracy,0.9,0.8571428571428571,12,0.8571428571428571,DT,0.7517002534453601,0.005260484220274558,0.8169811856147577,0.005460511084072153,0.7517002534453601,0.005260484220274567,0.8793563532871355,0.003956183847194539,0.8818571909451765,0.002455005145237105,0.8768941263055108,0.0069885702001961205
adult,f_classif,log_loss,0.2,0.14285714285714285,2,0.14285714285714285,DT,0.5861105530674298,0.00738329554553303,0.6781048388110824,0.005457553144722522,0.5861105530674297,0.007383295545532977,0.7827971507983176,0.003989367069521053,0.8041860946694037,0.003788694665270152,0.7625353895054958,0.005756123059428673
adult,f_classif,log_loss,0.3,0.21428571428571427,3,0.21428571428571427,DT,0.5878943644039831,0.008130974629371271,0.6864378074920552,0.008631442204870169,0.5878943644039831,0.008130974629371268,0.7903001007446602,0.006877177880574665,0.8042619710083347,0.004026611463367184,0.7768809426190915,0.01152486397733953
adult,f_classif,log_loss,0.4,0.2857142857142857,4,0.2857142857142857,DT,0.6409581324004552,0.003371156074744899,0.7304983582260962,0.004860421388701663,0.6409581324004551,0.0033711560747448906,0.8210198095395634,0.004185151280830642,0.8295911965757107,0.0019755680459016514,0.812676954771263,0.008861006288664257
adult,f_classif,log_loss,0.5,0.42857142857142855,6,0.42857142857142855,DT,0.688142671941327,0.004127026688209608,0.769849800950108,0.002709247503936041,0.688142671941327,0.004127026688209646,0.8481316694509967,0.0021975280948439966,0.8514778048769222,0.002575793454170052,0.8448392097321683,0.005373372100094697
adult,f_classif,log_loss,0.6,0.5,7,0.5,DT,0.7263456228188352,0.005135236552064353,0.7981244713588623,0.0047169232471269305,0.7263456228188352,0.0051352365520643695,0.866863299552692,0.0034524159460955096,0.869767541699912,0.002683453874417918,0.8640017703807479,0.006241588683298846
adult,f_classif,log_loss,0.7,0.6428571428571429,9,0.6428571428571429,DT,0.7473827792773622,0.00629490841439163,0.8131322212693759,0.004048505423246516,0.7473827792773622,0.006294908414391586,0.8767183460059591,0.0027480334204310532,0.8800030420570405,0.003508237456919123,0.8734759948250408,0.0045062185981880115
adult,f_classif,log_loss,0.8,0.7142857142857143,10,0.7142857142857143,DT,0.75112008440722,0.007958004674669953,0.8161418480916944,0.0051044291010155915,0.75112008440722,0.00795800467466997,0.8787474855977855,0.003432385136152021,0.8817236523713202,0.00438339496452742,0.8758178666477363,0.005504783721704783
adult,f_classif,log_loss,0.9,0.8571428571428571,12,0.8571428571428571,DT,0.7517002534453601,0.005260484220274558,0.8169811856147577,0.005460511084072153,0.7517002534453601,0.005260484220274567,0.8793563532871355,0.003956183847194539,0.8818571909451765,0.002455005145237105,0.8768941263055108,0.0069885702001961205
adult,random,balanced_accuracy,0.2,0.14285714285714285,2,0.14285714285714285,DT,0.513975607139907,0.003667106845282222,0.7609228764448825,0.002525420937792986,0.513975607139907,0.003667106845282193,0.8627250969830704,0.0014581066986071865,0.7659059999103468,0.0013308558126068032,0.9875655960837207,0.002005276347399065
adult,random,balanced_accuracy,0.3,0.21428571428571427,3,0.21428571428571427,DT,0.5881161216288462,0.007390599596994261,0.6928460865257181,0.0055785703740103025,0.5881161216288462,0.007390599596994279,0.7962472449639125,0.003908709747139019,0.8036770901798814,0.0036133158055153885,0.7889653631236355,0.005258492670122353
adult,random,balanced_accuracy,0.4,0.2857142857142857,4,0.2857142857142857,DT,0.7262108113004724,0.011225646540557882,0.8110849329836023,0.006473972876497086,0.7262108113004723,0.011225646540557847,0.8774419179777105,0.004162014910355052,0.8662423003174361,0.005965604315953938,0.8889786699543787,0.006388229341866471
