train_loss,valid_loss,balanced_accuracy,accuracy,roc_auc,f1,recall,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
nan,nan,0.5,0.515625,0.5,0.0,0.0,2.604017496109009,False,,,1,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-26,1657245866,2.604017496109009,47639,desktop,192.168.100.15,2.604017496109009,0,1
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.512946605682373,False,,,2,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-27,1657245867,3.116964101791382,47639,desktop,192.168.100.15,3.116964101791382,0,2
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5052475929260254,False,,,3,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-27,1657245867,3.6222116947174072,47639,desktop,192.168.100.15,3.6222116947174072,0,3
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.4287409782409668,False,,,4,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-28,1657245868,4.050952672958374,47639,desktop,192.168.100.15,4.050952672958374,0,4
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5851359367370605,False,,,5,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-28,1657245868,4.636088609695435,47639,desktop,192.168.100.15,4.636088609695435,0,5
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5132732391357422,False,,,6,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-29,1657245869,5.149361848831177,47639,desktop,192.168.100.15,5.149361848831177,0,6
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.506561279296875,False,,,7,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-29,1657245869,5.655923128128052,47639,desktop,192.168.100.15,5.655923128128052,0,7
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.6127266883850098,False,,,8,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-30,1657245870,6.2686498165130615,47639,desktop,192.168.100.15,6.2686498165130615,0,8
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5823550224304199,False,,,9,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-31,1657245871,6.8510048389434814,47639,desktop,192.168.100.15,6.8510048389434814,0,9
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5515298843383789,False,,,10,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-31,1657245871,7.40253472328186,47639,desktop,192.168.100.15,7.40253472328186,0,10
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.49500250816345215,False,,,11,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-32,1657245872,7.8975372314453125,47639,desktop,192.168.100.15,7.8975372314453125,0,11
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5254976749420166,False,,,12,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-32,1657245872,8.423034906387329,47639,desktop,192.168.100.15,8.423034906387329,0,12
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.514559268951416,False,,,13,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-33,1657245873,8.937594175338745,47639,desktop,192.168.100.15,8.937594175338745,0,13
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5149338245391846,False,,,14,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-33,1657245873,9.45252799987793,47639,desktop,192.168.100.15,9.45252799987793,0,14
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5054783821105957,False,,,15,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-34,1657245874,9.958006381988525,47639,desktop,192.168.100.15,9.958006381988525,0,15
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5150208473205566,False,,,16,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-34,1657245874,10.473027229309082,47639,desktop,192.168.100.15,10.473027229309082,0,16
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5007989406585693,False,,,17,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-35,1657245875,10.973826169967651,47639,desktop,192.168.100.15,10.973826169967651,0,17
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5191488265991211,False,,,18,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-35,1657245875,11.492974996566772,47639,desktop,192.168.100.15,11.492974996566772,0,18
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5041799545288086,False,,,19,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-36,1657245876,11.997154951095581,47639,desktop,192.168.100.15,11.997154951095581,0,19
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5215797424316406,False,,,20,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-36,1657245876,12.518734693527222,47639,desktop,192.168.100.15,12.518734693527222,0,20
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5058858394622803,False,,,21,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-37,1657245877,13.024620532989502,47639,desktop,192.168.100.15,13.024620532989502,0,21
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5226435661315918,False,,,22,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-37,1657245877,13.547264099121094,47639,desktop,192.168.100.15,13.547264099121094,0,22
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5234518051147461,False,,,23,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-38,1657245878,14.07071590423584,47639,desktop,192.168.100.15,14.07071590423584,0,23
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.566594123840332,False,,,24,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-38,1657245878,14.637310028076172,47639,desktop,192.168.100.15,14.637310028076172,0,24
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5091798305511475,False,,,25,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-39,1657245879,15.14648985862732,47639,desktop,192.168.100.15,15.14648985862732,0,25
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.4998927116394043,False,,,26,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-39,1657245879,15.646382570266724,47639,desktop,192.168.100.15,15.646382570266724,0,26
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5113682746887207,False,,,27,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-40,1657245880,16.157750844955444,47639,desktop,192.168.100.15,16.157750844955444,0,27
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5766363143920898,False,,,28,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-40,1657245880,16.734387159347534,47639,desktop,192.168.100.15,16.734387159347534,0,28
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5670526027679443,False,,,29,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-41,1657245881,17.30143976211548,47639,desktop,192.168.100.15,17.30143976211548,0,29
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5106043815612793,False,,,30,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-42,1657245882,17.812044143676758,47639,desktop,192.168.100.15,17.812044143676758,0,30
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5295770168304443,False,,,31,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-42,1657245882,18.341621160507202,47639,desktop,192.168.100.15,18.341621160507202,0,31
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5195412635803223,False,,,32,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-43,1657245883,18.861162424087524,47639,desktop,192.168.100.15,18.861162424087524,0,32
nan,nan,0.5,0.515625,0.5,0.0,0.0,0.5835838317871094,False,,,33,1c8e439a,99fbca9ae7e54b6abababad5863d85e3,2022-07-07_21-04-43,1657245883,19.444746255874634,47639,desktop,192.168.100.15,19.444746255874634,0,33
